  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
NT    CrA |180434.2-393615. |RR        | 15.3    |  16.5      |p |
NW    CrA |180443.5-400343. |RR        | 15.2    |  16.4      |p |
NSV 10105 |180447.5-450036. |RR        | 15.     |  15.5      |p |
V1088 Oph |180451.9+013211. |RR        | 16.     |  17.5      |p |
QU    Ara |180504.6-512726. |RR        | 12.0    |  13.7      |p |
NSV 10103 |180505.7-531757. |RR        | 15.3    |  16.2      |p |
NSV 10124 |180507.6-464930. |RR        | 15.5    |  16.       |p |
NZ    CrA |180513.0-383647. |RR        | 15.3    |  16.6      |p |
OO    CrA |180518.4-392125. |RR        | 15.7    |  16.5      |p |
V0599 Ara |180518.4-475845. |RR        | 15.     |  16.       |p |
V0600 Ara |180519.0-473957. |RR        | 15.5    |  16.5      |p |
QT    Ara |180519.8-552152. |RR        | 12.5    |  14.4      |p |
OZ    Pav |180529.0-594715. |RR        | 16.3    |  16.9      |p |
NSV 10127 |180530.2-533452. |RR        | 14.4    |  14.8      |p |
V0601 Ara |180532.1-470832. |RR        | 16.     |  17.       |p |
V0602 Ara |180540.9-482150. |RR        | 14.5    |  15.5      |p |
NSV 10155 |180541.6-464934. |RR        | 15.5    |  16.       |p |
V0597 Sgr |180545.8-360849. |RR        | 15.1    |  15.8      |p |
NSV 10222 |180625.5+323644. |RR        | 15.5    |  16.       |p |
V0488 CrA |180641.7-425246. |RR        | 15.1    |  15.7      |p |
V1090 Oph |180648.7+075335. |RR        | 15.     |  16.       |p |
NSV 10168 |180654.6-584642. |RR        | 14.8    |  15.5      |p |
NSV 10178 |180655.3-530604. |RR        | 15.3    |  16.2      |p |
NSV 10182 |180700.4-531412. |RR        | 15.2    |  15.8      |p |
OZ    CrA |180715.2-392302. |RR        | 14.7    |  15.8      |p |
PQ    CrA |180721.7-401441. |RR        | 15.0    |  16.2      |p |
V0603 Ara |180728.0-471522. |RR        | 15.     |  16.       |p |
PR    CrA |180731.4-392338. |RR        | 15.2    |  16.6      |p |
NSV 10196 |180732.9-521330. |RR        | 15.5    |  16.2      |p |
NSV 10213 |180738.5-391249. |RR        | 16.0    |< 16.5      |p |
V0604 Ara |180741.8-454838. |RR        | 15.     |  16.       |p |
NSV 10199 |180742.4-542100. |RR        | 13.9    |  14.8      |p |
V0613 Ara |180744.3-542631. |RR        | 15.5    |  17.       |p |
V0605 Ara |180745.6-453113. |RR        | 15.     |  16.       |p |
NSV 10212 |180754.5-475754. |RR        | 15.     |  15.5      |p |
PV    CrA |180759.3-392545. |RR        | 15.5    |  16.6      |p |
NSV 10198 |180800.6-542601. |RR        | 14.9    |  15.8      |p |
GL    CrA |180801.6-371512. |RR        | 15.2    |  16.2      |p |
GN    CrA |180802.6-370733. |RR        | 14.6    |  15.4      |p |
V0606 Ara |180802.8-481916. |RR        | 15.     |  16.       |p |
GP    CrA |180810.4-373310. |RR        | 15.5    |< 16.5      |p |
V0952 Oph |180816.1+054031. |RR        | 13.5    |  14.9      |p |
QV    Ara |180817.1-524005. |RR        | 13.7    |  14.8      |p |
NSV 10217 |180829.4-523514. |RR        | 15.2    |  15.8      |p |
V1093 Oph |180833.5+001003. |RR        | 15.5    |  17.       |p |
V1094 Oph |180838.5+000855. |RR        | 15.5    |  16.5      |p |
QW    Ara |180848.3-495202. |RR        | 14.3    |  16.5      |p |
CN    Pav |180857.7-573728. |RR        | 14.7    |  15.8      |p |
GT    CrA |180900.1-381421. |RR        | 15.4    |  16.7  :   |p |
V0607 Ara |180901.6-514410. |RR        | 15.     |  16.       |p |
CK    Pav |180902.7-601313. |RR        | 15.3    |  16.8      |p |
V0673 CrA |180912.1-373843. |RR        | 15.6    |< 16.5      |p |
V0568 Her |180915.3+322524. |RR        | 15.9    |< 17.1      |p |
NSV 10268 |180933.9-365006. |RR        | 15.0    |  15.9      |p |
NSV 10259 |180937.6-443125. |RR        | 14.     |  14.5      |p |
KM    Tel |180943.1-494101. |RR        | 15.     |  16.       |p |
V0569 Her |180948.8+290318. |RR        | 16.     |  17.       |p |
CP    Pav |180951.4-570053. |RR        | 13.5    |  14.9      |p |
NSV 10291 |180952.7+034159. |RR        | 15.5    |  16.       |p |
KO    Tel |180957.5-470459. |RR        | 15.5    |  16.5      |p |
V0500 CrA |181000.3-444405. |RR        | 14.5    |  15.5      |p |
HH    CrA |181005.6-380306. |RR        | 15.3    |  16.6      |p |
KN    Tel |181014.7-540216. |RR        | 15.     |  16.       |p |
V0336 CrA |181017.4-394210. |RR        | 15.5    |  16.5      |p |
KP    Tel |181019.7-512037. |RR        | 15.5    |  16.5      |p |
NSV 10273 |181021.3-490820. |RR        | 14.5    |  15.       |p |
HI    CrA |181035.5-370406. |RR        | 15.0    |  16.1      |p |
KQ    Tel |181052.8-485836. |RR        | 14.5    |  15.5      |p |
CO    Pav |181058.0-602437. |RR        | 13.9    |  15.3      |p |
V0339 CrA |181100.4-402859. |RR        | 15.3    |  16.8      |p |
V0505 CrA |181107.2-450853. |RR        | 16.     |  17.       |p |
V0340 CrA |181112.0-403852. |RR        | 14.8    |  15.7      |p |
BV    Tel |181117.0-503205. |RR        | 14.7    |  15.8      |p |
V0341 CrA |181118.1-400233. |RR        | 14.7    |  15.8      |p |
BU    Tel |181122.7-503929. |RR        | 14.2    |  15.2      |p |
V0342 CrA |181125.6-403038. |RR        | 15.0    |  15.7      |p |
HO    CrA |181126.1-374613. |RR        | 15.3    |  16.4      |p |
V0573 Her |181126.2+295632. |RR        | 16.     |  17.       |p |
V0668 Her |181127.3+325758. |RR        | 16.2    |< 16.6      |p |
V0507 CrA |181129.4-451715. |RR        | 15.     |  16.       |p |
BX    Tel |181131.3-511239. |RR        | 14.8    |  16.2      |p |
BT    Tel |181135.3-553511. |RR        | 14.7    |  15.9      |p |
BW    Tel |181137.3-524730. |RR        | 14.0    |  16.1      |p |
V0572 Her |181138.4+255439. |RR        | 15.5    |  16.5      |p |
KR    Tel |181138.8-530032. |RR        | 15.     |  16.       |p |
SY    Tel |181143.0-522735. |RR        | 13.9    |  16.0      |p |
V0657 Sgr |181143.1-352227. |RR        | 15.3    |  16.1      |p |
BY    Tel |181143.4-504235. |RR        | 14.9    |  15.9      |p |
BZ    Tel |181147.0-495304. |RR        | 14.4    |  16.3      |p |
V0658 Sgr |181153.6-365234. |RR        | 15.2    |  16.0      |p |
V0532 Her |181156.2+280358. |RR        | 14.8    |  16.0      |p |
V0510 CrA |181203.4-450238. |RR        | 15.     |  16.       |p |
NSV 10332 |181210.3-462023. |RR        | 14.5    |  15.       |p |
CQ    Pav |181211.5-571856. |RR        | 14.0    |  15.9      |p |
NSV 10330 |181223.2-523924. |RR        | 14.5    |  15.2      |p |
V0348 CrA |181229.1-403442. |RR        | 15.6    |  16.8      |p |
V0662 Sgr |181230.6-365508. |RR        | 15.3    |  15.9      |p |
KS    Tel |181232.7-523214. |RR        | 15.     |  16.       |p |
V4122 Sgr |181241.0-314500. |RR        | 16.3    |  17.6      |B |
KT    Tel |181246.5-461817. |RR        | 14.     |  15.       |p |
V0351 CrA |181247.8-390544. |RR        | 14.8    |  16.1      |p |
V4123 Sgr |181251.0-313648. |RR        | 17.4    |  18.4      |B |
CD    Tel |181254.1-544428. |RR        | 15.5    |  16.8      |p |
V4124 Sgr |181255.4-312613. |RR        | 16.4    |  17.6      |B |
V2666 Sgr |181303.9-340905. |RR        | 16.8    |  17.4      |p |
NSV 10343 |181313.3-573615. |RR        | 15.3    |  16.2      |p |
CR    Pav |181314.2-570528. |RR        | 14.6    |  16.1      |p |
HT    CrA |181316.4-381001. |RR        | 15.1    |  15.8      |p |
KU    Tel |181321.3-483910. |RR        | 14.5    |  15.5      |p |
V2688 Sgr |181323.6-330619. |RR        | 15.2    |  17.2      |p |
CF    Tel |181335.1-554556. |RR        | 13.9    |  15.9      |p |
V0574 Her |181335.8+282952. |RR        | 15.5    |  16.5      |p |
NSV 10358 |181339.3-551021. |RR        | 15.4    |  16.0      |p |
CG    Tel |181342.7-524355. |RR        | 14.8    |  15.9      |p |
V4125 Sgr |181343.9-312935. |RR        | 16.4    |  17.5      |B |
CE    Tel |181345.6-562220. |RR        | 14.4    |  15.6      |p |
CH    Tel |181349.0-510917. |RR        | 14.6    |  15.7      |p |
CS    Pav |181359.8-591127. |RR        | 13.6    |  14.7      |p |
HW    CrA |181402.4-372154. |RR        | 14.9    |  16.0      |p |
V0357 CrA |181410.4-400118. |RR        | 15.5    |  16.6      |p |
KW    Tel |181416.8-465430. |RR        | 14.5    |  16.       |p |
V4126 Sgr |181432.1-314924. |RR        | 16.5    |  17.2      |B |
KX    Tel |181434.8-461818. |RR        | 15.     |  16.       |p |
V0575 Her |181435.5+294441. |RR        | 15.5    |  16.5      |p |
V1152 Sgr |181436.1-343718. |RR        | 15.5    |  16.5      |p |
V0677 CrA |181444.4-373822. |RR        | 15.2    |  16.2      |p |
V4127 Sgr |181444.5-320401. |RR        | 17.2    |  18.4      |B |
V2776 Sgr |181513.0-330923. |RR        | 15.4    |  16.6      |p |
V0363 CrA |181515.0-402335. |RR        | 15.3    |  16.5      |p |
V2779 Sgr |181519.1-341437. |RR        | 15.6    |  16.8      |p |
V0367 CrA |181525.6-384533. |RR        | 15.2    |  16.2      |p |
V2790 Sgr |181528.0-330612. |RR        | 17.2    |  18.3      |p |
CI    Tel |181529.7-543622. |RR        | 14.6    |  15.7      |p |
V2787 Sgr |181530.4-345008. |RR        | 16.1    |  16.5      |p |
IN    CrA |181530.8-380609. |RR        | 14.9    |  16.2      |p |
CT    Pav |181532.8-593817. |RR        | 14.3    |  15.3      |p |
CL    Tel |181535.0-533236. |RR        | 14.8    |  16.0      |p |
V2800 Sgr |181540.2-322303. |RR        | 15.3    |  17.1      |p |
CM    Tel |181542.9-522003. |RR        | 15.0    |  16.0      |p |
CK    Tel |181543.5-562335. |RR        | 14.8    |  17.0      |p |
KY    Tel |181545.9-502324. |RR        | 15.5    |  17.       |p |
NSV 10413 |181547.9-495834. |RR        | 14.2    |  15.1      |p |
KZ    Tel |181557.9-471354. |RR        | 15.     |  16.       |p |
NSV 10414 |181601.6-543716. |RR        | 15.4    |  16.1      |p |
NSV 10427 |181605.0-495824. |RR        | 14.1    |  14.8      |p |
LL    Tel |181607.6-491049. |RR        | 15.     |  16.       |p |
CN    Tel |181608.1-493157. |RR        | 14.8    |  16.2      |p |
V2832 Sgr |181610.7-312942. |RR        | 16.3    |  16.9      |p |
CO    Tel |181618.9-502958. |RR        | 14.9    |  16.0      |p |
V1097 Oph |181628.8+023602. |RR        | 15.5    |  17.       |p |
UW    Tel |181629.1-530651. |RR        | 14.8    |  15.3      |p |
NSV 10436 |181631.5-504000. |RR        | 13.8    |  14.5      |p |
NSV 10440 |181633.9-492824. |RR        | 15.     |  15.5      |p |
NSV 10441 |181634.9-493141. |RR        | 15.5    |  16.       |p |
V1098 Oph |181640.1+050411. |RR        | 16.     |  17.       |p |
CQ    Tel |181641.0-524253. |RR        | 14.9    |  15.9      |p |
V0712 Sgr |181652.2-344637. |RR        | 14.1    |  15.2  :   |p |
NSV 10444 |181700.9-540142. |RR        | 14.6    |  15.5      |p |
SZ    Tel |181705.4-533350. |RR        | 13.6    |  15.8      |p |
V2879 Sgr |181705.4-331941. |RR        | 14.7    |  16.0      |p |
NSV 10465 |181713.4-455425. |RR        | 15.     |  15.5      |p |
CS    Tel |181718.8-533814. |RR        | 15.2    |  16.9      |p |
V2885 Sgr |181723.3-365007. |RR        | 14.7    |  16.3      |p |
LM    Tel |181724.3-462018. |RR        | 15.     |  16.       |p |
NSV 10461 |181729.3-525144. |RR        | 14.7    |  15.2      |p |
CR    Tel |181730.3-553228. |RR        | 14.7    |  15.7      |p |
V2900 Sgr |181733.3-325300. |RR        | 15.0    |  16.5      |p |
V1101 Oph |181737.4+043811. |RR        | 15.5    |  17.       |p |
LN    Tel |181742.8-454202. |RR        | 14.5    |  15.5      |p |
V2915 Sgr |181749.9-344116. |RR        | 15.4    |  16.4      |p |
NSV 10468 |181757.5-574740. |RR        | 14.7    |  15.5      |p |
LO    Tel |181800.3-461711. |RR        | 15.5    |  16.5      |p |
V2928 Sgr |181801.4-350843. |RR        | 16.5    |  17.3      |p |
NSV 10483 |181804.7-522344. |RR        | 14.8    |  15.6      |p |
NSV 10480 |181812.8-555945. |RR        | 14.8    |  15.6      |p |
V2955 Sgr |181818.6-332654. |RR        | 15.9    |  16.7      |p |
NSV 10501 |181819.9-363905. |RR        | 14.7    |  15.6      |p |
CW    Tel |181821.0-502933. |RR        | 14.1    |  15.4      |p |
CV    Tel |181824.3-535023. |RR        | 15.7    |  16.7      |p |
V2963 Sgr |181825.0-341208. |RR        | 16.4    |  17.5      |p |
IR    CrA |181825.6-374653. |RR        | 14.0    |  14.9      |p |
LQ    Tel |181834.9-465734. |RR        | 16.     |  17.       |p |
V0576 Her |181838.1+282513. |RR        | 14.     |  15.       |p |
LR    Tel |181847.5-464548. |RR        | 15.     |  16.5      |p |
LP    Tel |181849.8-515650. |RR        | 14.5    |  16.       |p |
NSV 10502 |181851.6-511356. |RR        | 16.4    |  17.1      |p |
NSV 10496 |181856.4-555723. |RR        | 15.0    |  15.6      |p |
NSV 10508 |181904.6-463928. |RR        | 15.     |  15.5      |p |
CX    Tel |181908.8-552352. |RR        | 14.8    |  16.3      |p |
NSV 10517 |181917.3-494701. |RR        | 14.2    |  15.0      |p |
V3023 Sgr |181933.3-330804. |RR        | 16.4    |  17.9      |p |
CU    Pav |181934.1-585948. |RR        | 14.1    |  15.2      |p |
DD    Tel |181937.1-500309. |RR        | 14.8    |  15.8      |p |
NSV 10568 |181939.6-464650. |RR        | 14.5    |  15.       |p |
NSV 10521 |181942.6-543251. |RR        | 14.6    |  15.5      |p |
V3801 Sgr |181942.7-185438. |RR        | 13.6    |  14.3      |p |
NSV 10583 |181951.7-474106. |RR        | 15.     |  15.5      |p |
V3800 Sgr |182002.2-264051. |RR        | 14.0    |  15.4      |p |
NSV 10584 |182003.5-511627. |RR        | 15.1    |  15.9      |p |
NSV 10538 |182006.7-582540. |RR        | 14.2    |  14.8      |p |
LS    Tel |182008.8-453814. |RR        | 14.     |  15.       |p |
CZ    Tel |182010.1-544200. |RR        | 13.9    |  15.2      |p |
TT    Tel |182011.1-523345. |RR        | 14.4    |  15.9      |p |
NSV 10606 |182027.8-514323. |RR        | 16.5    |  17.1      |p |
NSV 10621 |182033.1-452143. |RR        | 15.     |  15.5      |p |
NSV 10615 |182041.4-531204. |RR        | 14.5    |  15.1      |p |
TV    Tel |182047.0-523301. |RR        | 13.7    |  15.1      |p |
LT    Tel |182051.7-505332. |RR        | 16.     |  17.       |p |
TW    Tel |182054.0-523357. |RR        | 14.7    |  16.0      |p |
V3095 Sgr |182059.7-334555. |RR        | 15.3    |  16.9      |p |
DF    Tel |182113.8-493348. |RR        | 14.6    |  15.8      |p |
NSV 10629 |182114.9-542752. |RR        | 15.2    |  16.0      |p |
PP    Pav |182135.6-592550. |RR        | 15.5    |  16.2      |p |
V3132 Sgr |182142.2-334005. |RR        | 15.5    |  16.8      |p |
V3145 Sgr |182151.7-305951. |RR        | 15.9    |  16.9      |p |
DH    Tel |182204.4-541429. |RR        | 14.4    |  15.5      |p |
DG    Tel |182209.8-563420. |RR        | 15.2    |  16.2      |p |
NSV 10664 |182216.0-522915. |RR        | 15.0    |  15.9      |p |
V3157 Sgr |182219.5-330957. |RR        | 16.1    |  17.4      |p |
V3156 Sgr |182225.8-353709. |RR        | 15.5    |  16.9      |p |
V3166 Sgr |182231.3-332728. |RR        | 14.6    |  16.1      |p |
V0565 CrA |182246.2-444622. |RR        | 14.     |  15.       |p |
V3172 Sgr |182248.3-350358. |RR        | 14.4    |  15.5      |p |
NSV 10655 |182252.0-501311. |RR        | 16.3    |  17.0      |p |
DK    Tel |182255.2-505937. |RR        | 14.1    |  15.8      |p |
LW    Tel |182257.8-462310. |RR        | 14.5    |  15.5      |p |
DI    Tel |182258.0-515641. |RR        | 14.5    |  15.6      |p |
V3184 Sgr |182302.5-321640. |RR        | 15.6    |  17.2      |p |
LV    Tel |182304.3-482035. |RR        | 14.5    |  15.5      |p |
V3200 Sgr |182326.6-305406. |RR        | 15.4    |  16.7      |p |
LX    Tel |182327.2-465918. |RR        | 14.5    |  15.5      |p |
DL    Tel |182337.1-543029. |RR        | 14.7    |  15.7      |p |
DN    Tel |182337.1-520629. |RR        | 14.7    |  15.8      |p |
NSV 10708 |182339.5-455354. |RR        | 14.5    |  15.       |p |
DO    Tel |182347.4-523010. |RR        | 14.6    |  15.7      |p |
DM    Tel |182348.4-543326. |RR        | 14.7    |  15.8      |p |
CV    Pav |182408.6-582353. |RR        | 14.4    |  15.5      |p |
V0575 CrA |182411.2-424751. |RR        | 13.7    |  14.1      |p |
DP    Tel |182430.9-522309. |RR        | 14.2    |  15.2      |p |
LY    Tel |182440.0-492942. |RR        | 15.     |  16.5      |p |
V3269 Sgr |182448.9-312317. |RR        | 15.6    |  17.2      |p |
V3275 Sgr |182501.8-332155. |RR        | 16.5    |  17.2      |p |
V3284 Sgr |182518.7-352527. |RR        | 15.8    |  16.6      |p |
DR    Tel |182519.3-525129. |RR        | 14.8    |  16.5      |p |
DQ    Tel |182523.5-534801. |RR        | 14.7    |  15.7      |p |
DS    Tel |182534.3-522441. |RR        | 14.7    |  15.9      |p |
V3316 Sgr |182602.0-354403. |RR        | 15.6    |  16.6      |p |
DT    Tel |182602.3-505716. |RR        | 14.1    |  16.0      |p |
NSV 10755 |182615.1-521127. |RR        | 16.3    |  17.0      |p |
OQ    Tel |182631.7-523045. |RR        | 15.0    |< 15.9      |p |
NSV 10764 |182632.3-512448. |RR        | 15.6    |  16.1      |p |
DU    Tel |182638.4-540534. |RR        | 14.4    |  16.2      |p |
V3334 Sgr |182640.7-351311. |RR        | 15.4    |  15.9      |p |
DW    Tel |182656.3-511408. |RR        | 14.5    |  15.8      |p |
MN    Tel |182657.9-471919. |RR        | 14.5    |  15.5      |p |
V3350 Sgr |182705.7-343351. |RR        | 14.6    |  16.1      |p |
DV    Tel |182713.9-550846. |RR        | 14.7    |  16.3      |p |
NSV 11078 |182720.1-512148. |RR        | 15.4    |  15.9      |p |
MO    Tel |182720.9-495618. |RR        | 15.     |  16.       |p |
DY    Tel |182728.6-532051. |RR        | 15.0    |  16.8      |p |
DX    Tel |182730.6-543157. |RR        | 15.8    |  17.0      |p |
DZ    Tel |182737.7-493949. |RR        | 14.9    |  16.2      |p |
NSV 10808 |182809.0-541025. |RR        | 14.3    |  14.9      |p |
V3385 Sgr |182815.0-332950. |RR        | 14.9    |  15.9      |p |
EF    Tel |182827.3-503808. |RR        | 14.5    |  15.9      |p |
V3394 Sgr |182827.9-334624. |RR        | 15.3    |  16.4      |p |
NSV 10817 |182829.3-532337. |RR        | 15.2    |  16.1      |p |
EG    Tel |182847.3-543612. |RR        | 15.2    |  16.2      |p |
EH    Tel |182859.8-530955. |RR        | 14.7    |  15.8      |p |
NSV 10831 |182905.4-563004. |RR        | 15.2    |  16.0      |p |
EK    Tel |182913.8-502108. |RR        | 13.0    |  14.7      |p |
NSV 10850 |182927.9-525153. |RR        | 15.6    |  16.4      |p |
NSV 10857 |182935.4-514627. |RR        | 15.4    |  16.2      |p |
EI    Tel |182937.2-533543. |RR        | 14.8    |  15.9      |p |
V3434 Sgr |182937.4-320408. |RR        | 15.2    |  17.8      |p |
CW    Pav |182937.6-592051. |RR        | 13.0    |  14.2      |p |
V3436 Sgr |182939.2-313816. |RR        | 16.0    |  17.2      |p |
EL    Tel |182949.3-523714. |RR        | 14.1    |  15.4      |p |
EM    Tel |182957.8-531826. |RR        | 14.5    |  15.5      |p |
V3446 Sgr |183001.1-330154. |RR        | 16.3    |  17.3      |p |
NSV 10873 |183002.0-521230. |RR        | 14.5    |  15.4      |p |
MP    Tel |183006.8-490233. |RR        | 15.     |  16.5      |p |
V3445 Sgr |183009.0-360521. |RR        | 16.3    |  17.1      |p |
OR    Tel |183014.6-505349. |RR        | 14.7    |  15.6      |p |
MQ    Tel |183018.1-470903. |RR        | 14.     |  15.       |p |
V3459 Sgr |183021.1-334836. |RR        | 15.3    |  16.5      |p |
V1106 Oph |183023.4+074816. |RR        | 16.     |  17.       |p |
EO    Tel |183023.9-505128. |RR        | 14.7    |  15.8      |p |
V3843 Sgr |183048.6-233834. |RR        | 14.3    |  15.5      |p |
EN    Tel |183051.5-560413. |RR        | 14.9    |  16.2      |p |
MR    Tel |183103.8-515917. |RR        | 16.     |  17.       |p |
V3492 Sgr |183122.7-335750. |RR        | 15.7    |  16.1      |p |
V3498 Sgr |183130.8-310900. |RR        | 15.5    |  16.9      |p |
ER    Tel |183131.4-502958. |RR        | 14.7    |  15.8      |p |
EQ    Tel |183140.7-542906. |RR        | 15.0    |  16.0      |p |
V3845 Sgr |183151.4-251249. |RR        | 14.1    |  15.5      |p |
NSV 10925 |183158.7-562015. |RR        | 15.0    |  15.9      |p |
V2000 Sgr |183210.4-223203. |RR        | 14.5    |  15.7      |V |
V3512 Sgr |183222.2-352342. |RR        | 14.2    |  15.4      |p |
V3519 Sgr |183230.8-354357. |RR        | 18.0    |  18.7      |p |
NSV 10955 |183235.6-483259. |RR        | 15.5    |  16.       |p |
NSV 10954 |183253.5-553914. |RR        | 15.6    |  16.5      |p |
NSV 10957 |183254.8-532344. |RR        | 15.0    |  15.6      |p |
V3550 Sgr |183317.5-320944. |RR        | 15.2    |  16.4      |p |
ET    Tel |183321.8-524103. |RR        | 14.1    |  15.2      |p |
V3557 Sgr |183332.9-333654. |RR        | 15.3    |  16.1      |p |
IR    Sgr |183339.9-252051. |RR        | 13.4    |  15.0      |p |
ES    Tel |183342.6-562918. |RR        | 14.8    |  15.9      |p |
EW    Tel |183424.5-544913. |RR        | 14.3    |  15.3      |p |
EX    Tel |183426.9-514855. |RR        | 15.1    |  16.3      |p |
NSV 11023 |183450.7-511246. |RR        | 14.4    |  14.9      |p |
EY    Tel |183501.4-525040. |RR        | 14.4    |  15.7      |p |
NSV 11031 |183517.3-525448. |RR        | 14.4    |  14.9      |p |
EZ    Tel |183517.4-542139. |RR        | 14.0    |  15.1      |p |
V3614 Sgr |183530.8-333146. |RR        | 16.8    |  17.7      |p |
CX    Pav |183534.0-572914. |RR        | 13.9    |  15.1      |p |
NSV 11044 |183609.0-553515. |RR        | 15.4    |  16.1      |p |
V3637 Sgr |183616.9-361057. |RR        | 15.7    |  16.5      |p |
FI    Tel |183621.0-495459. |RR        | 13.4    |  14.6      |p |
FK    Tel |183633.6-513809. |RR        | 14.6    |  15.8      |p |
V3654 Sgr |183655.4-324426. |RR        | 15.3    |  16.1      |p |
NSV 11060 |183657.7-563446. |RR        | 14.7    |  15.6      |p |
FM    Tel |183742.5-560156. |RR        | 14.9    |  15.9      |p |
NSV 11094 |183758.1-525016. |RR        | 14.2    |  15.1      |p |
V3681 Sgr |183801.0-340602. |RR        | 15.8    |  17.0      |p |
NSV 11095 |183805.1-542110. |RR        | 13.4    |  14.1      |p |
V3688 Sgr |183810.6-330743. |RR        | 14.7    |  15.8      |p |
V3689 Sgr |183814.2-334745. |RR        | 15.2    |  17.1      |p |
FN    Tel |183836.3-541441. |RR        | 15.5    |  16.8      |p |
NSV 11103 |183837.5-585310. |RR        | 14.2    |  14.8      |p |
NSV 11108 |183841.0-552639. |RR        | 15.3    |  15.9      |p |
BT    Ser |183849.7+045000. |RR        | 13.5    |  14.6      |p |
V0339 Lyr |183855.7+413353. |RR        | 15.     |  16.       |p |
V3713 Sgr |183931.6-343425. |RR        | 15.7    |  16.6      |p |
NSV 11134 |183931.7-492818. |RR        | 14.3    |  15.2      |p |
LS    Lyr |183932.7+350315. |RR        | 15.6    |  16.5      |p |
V5644 Sgr |183951.9-320055. |RR(B)     | 11.95   |  13.00     |V |
V0465 Lyr |184014.0+354926. |RR        | 13.5    |  13.9      |p |
NSV 11153 |184022.2-524219. |RR        | 14.9    |  15.6      |p |
V3741 Sgr |184023.1-322756. |RR        | 15.6    |  17.0      |p |
FO    Tel |184028.4-551437. |RR        | 14.6    |  15.7      |p |
V0374 Tel |184035.3-535032. |RR(B)     | 12.27   |  13.42     |V |
V3745 Sgr |184036.6-344410. |RR        | 15.2    |  15.9      |p |
OT    Tel |184037.9-501450. |RR        | 14.8    |  15.5      |p |
V3753 Sgr |184040.1-323413. |RR        | 15.6    |  16.6      |p |
DQ    Pav |184041.6-574305. |RR        | 14.5    |  15.5      |p |
V0469 Lyr |184053.3+363848. |RR        | 13.9    |  15.1      |p |
NSV 11167 |184058.4-501102. |RR        | 14.2    |  14.9      |p |
FS    Tel |184142.8-503429. |RR        | 14.6    |  15.8      |p |
NSV 11176 |184143.5-554220. |RR        | 15.4    |  16.0      |p |
FX    Sct |184156.6-105721. |RR        | 14.3    |  15.0      |p |
FQ    Tel |184157.3-541507. |RR        | 14.8    |  15.8      |p |
NSV 11195 |184224.1-550033. |RR        | 14.5    |  15.2      |p |
V4080 Sgr |184246.3-323743. |RR        | 16.2    |  17.2      |B |
FW    Tel |184312.9-503658. |RR        | 14.7    |  15.8      |p |
FV    Tel |184321.1-535440. |RR        | 14.8    |  15.8      |p |
V0342 Lyr |184332.8+394642. |RR        | 16.     |  17.5      |p |
V4085 Sgr |184334.8-324512. |RR        | 16.0    |  16.9      |B |
NSV 11224 |184341.1-523936. |RR        | 13.9    |  14.8      |p |
MR    Lyr |184341.4+374332. |RR        | 15.2    |  16.1      |p |
NSV 11230 |184347.8-531647. |RR        | 13.7    |  14.6      |p |
V2034 Sgr |184412.8-261635. |RR        | 14.9    |  15.8      |p |
FX    Tel |184415.2-500924. |RR        | 14.4    |  15.5      |p |
NSV 11289 |184419.0+271309. |RR        | 13.2    |< 14.       |p |
V0343 Lyr |184430.8+414153. |RR        | 15.5    |  16.5      |p |
CY    Pav |184437.5-575449. |RR        | 14.7    |  16.0      |p |
FZ    Tel |184505.5-501204. |RR        | 14.8    |  16.0      |p |
GG    Tel |184530.2-523255. |RR        | 14.8    |  15.8      |p |
MS    Lyr |184650.8+400635. |RR        | 15.5    |  16.2      |p |
NSV 11304 |184654.0-543920. |RR        | 12.8    |  13.3      |p |
V0347 Lyr |184708.9+412221. |RR        | 15.     |  16.       |p |
NSV 11319 |184720.5-530341. |RR        | 14.8    |  15.4      |p |
NSV 11331 |184745.4-513257. |RR        | 14.8    |  15.6      |p |
NSV 11326 |184757.9-550223. |RR        | 14.2    |  15.1      |p |
NSV 11329 |184758.7-523555. |RR        | 14.5    |  15.2      |p |
GI    Tel |184826.5-564213. |RR        | 13.9    |  15.0      |p |
GL    Tel |184835.5-514738. |RR        | 14.9    |  16.1      |p |
V1214 Sgr |184839.3-250348. |RR        | 14.4    |  15.4      |p |
GM    Tel |184912.0-534521. |RR        | 14.6    |  15.8      |p |
V0351 Lyr |184926.0+425850. |RR        | 15.     |  16.       |p |
NSV 11349 |184932.3-590535. |RR        | 14.3    |  14.8      |p |
NSV 11380 |184954.8-101816. |RR        | 15.8    |  16.3      |p |
HH    Sct |185001.8-112104. |RR        | 15.6    |  16.4      |p |
HW    Sct |185039.3-091130. |RR        | 16.1    |  16.7      |p |
NSV 11375 |185057.6-561132. |RR        | 15.5    |  16.1      |p |
GN    Tel |185112.1-523213. |RR        | 13.7    |  15.2      |p |
IR    Sct |185113.0-083224. |RR        | 15.9    |  16.5      |p |
CZ    Pav |185119.4-585045. |RR        | 13.7    |  15.2      |p |
IY    Sct |185131.4-115522. |RR        | 14.7    |  16.2      |p |
KM    Sct |185136.8-083130. |RR        | 15.6    |  16.2      |p |
GO    Tel |185138.7-514646. |RR        | 14.2    |  15.2      |p |
